Posted Date,Last Updated Date,type_of_Vehicle,Brand Name,Model Name,Other Name,price,depreciation,reg_Date,mileage,road_Tax,dereg_Value,COE,engine_Cap,curb_Weight,transmission,OMV,ARF,fuel_Type,Vehicle ID,Vehicle DL,Vehicle Link,Unnamed: 0,dealers_names,dealers_links
24-Apr-2023,24-Apr-2023,Stationwagon,Honda,Airwave,1.5A M (COE till 01/2029),"$51,800","$9,050 /yr","13-Jan-2009
(5yrs 8mths 19days COE left)",N.A.,"$1,023 /yr","$14,915 as of today (change)","$26,047","1,496 cc","1,160 kg",Auto,"$13,878","$13,878",,ID=1190970,DL=3137,https://www.sgcarmart.com/used_cars/info.php?ID=1190970&DL=3137,207,Munich Alpina Pte Ltd,https://www.sgcarmart.com/used_cars/listing.php?DL=3137
23-Apr-2023,23-Apr-2023,Luxury Sedan,Mercedes-Benz,CLA180,CLA-Class  Progressive,"$193,800","$18,550 /yr
View models with similar depre","20-Sep-2022
(9yrs 4mths 26days COE left)","2,231 km",$586 /yr,"$99,399 as of today (change)","$74,989","1,332 cc","1,410 kg",Auto,"$33,149","$38,409",,ID=1190898,DL=1039,https://www.sgcarmart.com/used_cars/info.php?ID=1190898&DL=1039,555,BW Automobiles,https://www.sgcarmart.com/used_cars/listing.php?DL=1039
23-Apr-2023,23-Apr-2023,Hatchback,Volkswagen,Golf,1.4A TSI (New 5-yr COE),"$63,998","$12,790 /yr","29-May-2013
(5yrs COE left)","119,018 km (12k /yr)",$624 /yr,N.A.,N.A.,"1,395 cc","1,249 kg",Auto,"$20,925","$6,295",,ID=1190954,DL=3382,https://www.sgcarmart.com/used_cars/info.php?ID=1190954&DL=3382,597,CarQuotes SG,https://www.sgcarmart.com/used_cars/listing.php?DL=3382
23-Apr-2023,23-Apr-2023,MPV,Toyota,Wish,1.8A Elegance,"$15,000",N.A.,"28-Jun-2013
(2mths 3days COE left)","153,000 km (15.6k /yr)",$976 /yr,"$10,999 as of today (change)","$61,700","1,798 cc","1,360 kg",Auto,"$23,453","$19,835",,ID=1190956,DL=1281,https://www.sgcarmart.com/used_cars/info.php?ID=1190956&DL=1281,488,Auto Venture Motoring,https://www.sgcarmart.com/used_cars/listing.php?DL=1281
23-Apr-2023,23-Apr-2023,Luxury Sedan,BMW,523i,5 Series  Highline (COE till 04/2031),"$110,800","$13,810 /yr","15-Jun-2011
(8yrs 6days COE left)",N.A.,"$2,155 /yr","$37,957 as of today (change)","$47,316","2,497 cc","1,650 kg",Auto,"$44,497","$44,497",,ID=1190953,DL=2725,https://www.sgcarmart.com/used_cars/info.php?ID=1190953&DL=2725,283,Dream Drive Pte Ltd,https://www.sgcarmart.com/used_cars/listing.php?DL=2725
23-Apr-2023,23-Apr-2023,Mid-Sized Sedan,Honda,Civic,1.5A VTEC Turbo Sunroof,"$107,828","$16,810 /yr
View models with similar depre","26-Oct-2018
(5yrs 6mths 1day COE left)","75,092 km (16.7k /yr)",$684 /yr,"$40,743 as of today (change)","$32,551","1,498 cc","1,324 kg",Auto,"$27,437","$30,412",,ID=1190951,DL=4228,https://www.sgcarmart.com/used_cars/info.php?ID=1190951&DL=4228,65,78 Automobile Pte Ltd,https://www.sgcarmart.com/used_cars/listing.php?DL=4228
23-Apr-2023,23-Apr-2023,Hatchback,Mazda,3,HB 2.0A Sport Sunroof,"$59,828","$14,380 /yr
View models with similar depre","14-Sep-2016
(3yrs 4mths 20days COE left)","95,601 km (14.5k /yr)","$1,210 /yr","$33,843 as of today (change)","$57,501","1,998 cc","1,357 kg",Auto,"$21,491","$22,088",,ID=1190932,DL=4228,https://www.sgcarmart.com/used_cars/info.php?ID=1190932&DL=4228,65,78 Automobile Pte Ltd,https://www.sgcarmart.com/used_cars/listing.php?DL=4228
23-Apr-2023,23-Apr-2023,Sports Car,Mercedes-Benz,"SLS, AMG",(COE till 09/2030),"$650,000","$87,350 /yr","22-Nov-2010
(7yrs 5mths 6days COE left)","22,500 km (1.8k /yr)","$9,625 /yr","$25,995 as of today (change)","$34,935","6,208 cc","1,695 kg",Auto,"$228,088","$228,088",,ID=1190949,DL=3003,https://www.sgcarmart.com/used_cars/info.php?ID=1190949&DL=3003,734,F1 Auto Cars Pte Ltd,https://www.sgcarmart.com/used_cars/listing.php?DL=3003
23-Apr-2023,23-Apr-2023,Luxury Sedan,Lexus,,LX570,"$500,000",N.A.,"15-Nov-2021
(8yrs 6mths 21days COE left)",N.A.,"$6,550 /yr",N.A.,"$88,000","5,662 cc","2,730 kg",Auto,"$87,678","$129,821",,ID=1190945,DL=3003,https://www.sgcarmart.com/used_cars/info.php?ID=1190945&DL=3003,734,F1 Auto Cars Pte Ltd,https://www.sgcarmart.com/used_cars/listing.php?DL=3003
23-Apr-2023,23-Apr-2023,Luxury Sedan,Lexus,IS,Turbo IS200t F Sport,"$130,000","$30,390 /yr
View models with similar depre","29-Aug-2016
(3yrs 4mths 4days COE left)","82,200 km (12.4k /yr)","$1,210 /yr","$55,628 as of today (change)","$56,500","1,998 cc","1,620 kg",Auto,"$46,057","$56,480",,ID=1190946,DL=2563,https://www.sgcarmart.com/used_cars/info.php?ID=1190946&DL=2563,1019,Prem Roy Motoring,https://www.sgcarmart.com/used_cars/listing.php?DL=2563
